103	00:01:6c:cf:d7:c4		1	('1','00:01:6c:cf:d7:c4','103')		('1','00:01:6c:cf:d7:c4','103')
84	00:02:44:03:47:9a		2	('2','00:02:44:03:47:9a','84')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84')
15	00:02:db:71:c0:78		3	('3','00:02:db:71:c0:78','15')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15')
179	00:03:0d:83:54:54		4	('4','00:03:0d:83:54:54','179')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179')
125	00:04:61:af:ee:16		5	('5','00:04:61:af:ee:16','125')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125')
65	00:04:61:ff:ff:ff		6	('6','00:04:61:ff:ff:ff','65')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65')
20	00:0a:e4:e8:6d:21		7	('7','00:0a:e4:e8:6d:21','20')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20')
39	00:0d:61:9d:54:94		8	('8','00:0d:61:9d:54:94','39')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39')
74	00:10:00:10:00:10		9	('9','00:10:00:10:00:10','74')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39'),('9','00:10:00:10:00:10','74')
187	00:13:77:6d:b9:70		10	('10','00:13:77:6d:b9:70','187')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39'),('9','00:10:00:10:00:10','74'),('10','00:13:77:6d:b9:70','187')
4	00:13:77:a9:ab:91		11	('11','00:13:77:a9:ab:91','4')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39'),('9','00:10:00:10:00:10','74'),('10','00:13:77:6d:b9:70','187'),('11','00:13:77:a9:ab:91','4')
73	00:13:77:ab:d1:27		12	('12','00:13:77:ab:d1:27','73')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39'),('9','00:10:00:10:00:10','74'),('10','00:13:77:6d:b9:70','187'),('11','00:13:77:a9:ab:91','4'),('12','00:13:77:ab:d1:27','73')
216	00:13:77:e8:89:c4		13	('13','00:13:77:e8:89:c4','216')		('1','00:01:6c:cf:d7:c4','103'),('2','00:02:44:03:47:9a','84'),('3','00:02:db:71:c0:78','15'),('4','00:03:0d:83:54:54','179'),('5','00:04:61:af:ee:16','125'),('6','00:04:61:ff:ff:ff','65'),('7','00:0a:e4:e8:6d:21','20'),('8','00:0d:61:9d:54:94','39'),('9','00:10:00:10:00:10','74'),('10','00:13:77:6d:b9:70','187'),('11','00:13:77:a9:ab:91','4'),('12','00:13:77:ab:d1:27','73'),('13','00:13:77:e8:89:c4','216')
